ID	ApplicantID	Name	Type	Output	Scale	Organizer	WebURL	Score
1	MANDIRI20210002	Lomba 1	4	1	2	PT XYZ	https://ptxyz.com	88
2	MANDIRI20210002	Lomba 2	2	3	2	PT XYZ	https://ptxyz.com	90
3	MANDIRI20210003	Lomba 3	1	2	2	PT XYZ	https://ptxyz.com	90
4	MANDIRI20210003	Lomba 4	2	3	1	PT XYZ	https://ptxyz.com	60
5	MANDIRI20210004	Lomba 5	3	3	3	PT XYZ	https://ptxyz.com	65
6	MANDIRI20210004	Lomba 6	2	2	2	PT XYZ	https://ptxyz.com	80
7	MANDIRI20210005	Lomba 7	5	1	2	PT XYZ	https://ptxyz.com	72
8	MANDIRI20210005	Lomba 8	1	4	2	PT XYZ	https://ptxyz.com	61
9	MANDIRI20210006	Lomba 9	2	3	4	PT XYZ	https://ptxyz.com	73
10	MANDIRI20210006	Lomba 10	1	1	2	PT XYZ	https://ptxyz.com	73
11	MANDIRI20210008	Lomba 11	2	2	1	PT XYZ	https://ptxyz.com	60
12	MANDIRI20210008	Lomba 12	2	4	4	PT XYZ	https://ptxyz.com	52
13	MANDIRI20210010	Lomba 13	3	2	3	PT XYZ	https://ptxyz.com	75
14	MANDIRI20210010	Lomba 14	3	2	4	PT XYZ	https://ptxyz.com	54
15	MANDIRI20210011	Lomba 15	1	3	3	PT XYZ	https://ptxyz.com	68
16	MANDIRI20210011	Lomba 16	3	1	4	PT XYZ	https://ptxyz.com	89
17	MANDIRI20210013	Lomba 17	4	1	4	PT XYZ	https://ptxyz.com	51
18	MANDIRI20210013	Lomba 18	1	2	1	PT XYZ	https://ptxyz.com	85
19	MANDIRI20210015	Lomba 19	4	2	4	PT XYZ	https://ptxyz.com	86
20	MANDIRI20210015	Lomba 20	4	2	2	PT XYZ	https://ptxyz.com	53
21	MANDIRI20210016	Lomba 21	4	2	4	PT XYZ	https://ptxyz.com	67
22	MANDIRI20210016	Lomba 22	2	1	1	PT XYZ	https://ptxyz.com	81
23	MANDIRI20210018	Lomba 23	3	1	2	PT XYZ	https://ptxyz.com	61
24	MANDIRI20210018	Lomba 24	2	2	1	PT XYZ	https://ptxyz.com	76
25	MANDIRI20210020	Lomba 25	2	2	4	PT XYZ	https://ptxyz.com	68
26	MANDIRI20210020	Lomba 26	1	1	1	PT XYZ	https://ptxyz.com	89
27	MANDIRI20210021	Lomba 27	2	1	2	PT XYZ	https://ptxyz.com	77
28	MANDIRI20210021	Lomba 28	3	2	1	PT XYZ	https://ptxyz.com	66
29	MANDIRI20210022	Lomba 29	1	1	2	PT XYZ	https://ptxyz.com	61
30	MANDIRI20210022	Lomba 30	5	1	3	PT XYZ	https://ptxyz.com	82
31	MANDIRI20210023	Lomba 31	3	4	4	PT XYZ	https://ptxyz.com	87
32	MANDIRI20210023	Lomba 32	5	1	4	PT XYZ	https://ptxyz.com	84
33	MANDIRI20210024	Lomba 33	2	4	4	PT XYZ	https://ptxyz.com	66
34	MANDIRI20210024	Lomba 34	3	3	2	PT XYZ	https://ptxyz.com	77
35	MANDIRI20210025	Lomba 35	5	3	2	PT XYZ	https://ptxyz.com	69
36	MANDIRI20210025	Lomba 36	2	2	4	PT XYZ	https://ptxyz.com	61
37	MANDIRI20210026	Lomba 37	1	2	1	PT XYZ	https://ptxyz.com	73
38	MANDIRI20210026	Lomba 38	5	2	1	PT XYZ	https://ptxyz.com	72
39	MANDIRI20210027	Lomba 39	3	2	3	PT XYZ	https://ptxyz.com	60
40	MANDIRI20210027	Lomba 40	5	3	2	PT XYZ	https://ptxyz.com	85
41	MANDIRI20210028	Lomba 41	1	4	2	PT XYZ	https://ptxyz.com	50
42	MANDIRI20210028	Lomba 42	4	3	2	PT XYZ	https://ptxyz.com	62
43	MANDIRI20210029	Lomba 43	1	1	4	PT XYZ	https://ptxyz.com	72
44	MANDIRI20210029	Lomba 44	4	3	2	PT XYZ	https://ptxyz.com	68
45	MANDIRI20210030	Lomba 45	5	4	3	PT XYZ	https://ptxyz.com	71
46	MANDIRI20210030	Lomba 46	2	3	3	PT XYZ	https://ptxyz.com	79
47	MANDIRI20210031	Lomba 47	3	4	3	PT XYZ	https://ptxyz.com	68
48	MANDIRI20210031	Lomba 48	4	3	2	PT XYZ	https://ptxyz.com	65
49	MANDIRI20210032	Lomba 49	4	2	1	PT XYZ	https://ptxyz.com	62
50	MANDIRI20210032	Lomba 50	2	4	3	PT XYZ	https://ptxyz.com	74
51	MANDIRI20210033	Lomba 51	4	1	2	PT XYZ	https://ptxyz.com	60
52	MANDIRI20210033	Lomba 52	1	3	2	PT XYZ	https://ptxyz.com	58
53	MANDIRI20210034	Lomba 53	4	3	3	PT XYZ	https://ptxyz.com	72
54	MANDIRI20210034	Lomba 54	1	2	3	PT XYZ	https://ptxyz.com	77
55	MANDIRI20210035	Lomba 55	5	2	4	PT XYZ	https://ptxyz.com	63
56	MANDIRI20210035	Lomba 56	5	4	1	PT XYZ	https://ptxyz.com	75
57	MANDIRI20210036	Lomba 57	1	1	4	PT XYZ	https://ptxyz.com	90
58	MANDIRI20210036	Lomba 58	2	2	1	PT XYZ	https://ptxyz.com	57
59	MANDIRI20210037	Lomba 59	3	3	3	PT XYZ	https://ptxyz.com	72
60	MANDIRI20210037	Lomba 60	5	4	1	PT XYZ	https://ptxyz.com	81
61	MANDIRI20210038	Lomba 61	1	3	3	PT XYZ	https://ptxyz.com	87
