ApplicantID	MandiriTestID	Score
MANDIRI20210001	1	89
MANDIRI20210001	2	50
MANDIRI20210002	1	64
MANDIRI20210002	2	54
MANDIRI20210003	1	55
MANDIRI20210003	2	51
MANDIRI20210004	1	72
MANDIRI20210004	3	74
MANDIRI20210005	1	63
MANDIRI20210005	3	95
MANDIRI20210006	1	68
MANDIRI20210006	3	91
MANDIRI20210007	1	100
MANDIRI20210007	2	79
MANDIRI20210008	1	93
MANDIRI20210008	3	80
MANDIRI20210009	1	91
MANDIRI20210009	3	89
MANDIRI20210010	1	81
MANDIRI20210010	3	90
MANDIRI20210011	1	73
MANDIRI20210011	3	62
MANDIRI20210012	1	69
MANDIRI20210012	3	69
MANDIRI20210013	1	72
MANDIRI20210013	2	64
MANDIRI20210014	1	65
MANDIRI20210014	3	71
MANDIRI20210015	1	81
MANDIRI20210015	2	79
MANDIRI20210016	1	94
MANDIRI20210016	2	60
MANDIRI20210017	1	80
MANDIRI20210017	3	97
MANDIRI20210018	1	63
MANDIRI20210018	3	78
MANDIRI20210019	1	62
MANDIRI20210019	3	70
MANDIRI20210022	1	67
MANDIRI20210022	3	56
MANDIRI20210023	1	74
MANDIRI20210023	3	58
MANDIRI20210024	1	71
MANDIRI20210024	2	51
MANDIRI20210025	1	59
MANDIRI20210025	2	71
MANDIRI20210026	1	67
MANDIRI20210026	3	68
MANDIRI20210028	1	92
MANDIRI20210028	3	91
MANDIRI20210030	1	88
MANDIRI20210030	3	56
MANDIRI20210032	1	57
MANDIRI20210032	3	79
MANDIRI20210033	1	61
MANDIRI20210033	2	71
MANDIRI20210034	1	68
MANDIRI20210034	3	84
MANDIRI20210036	1	96
MANDIRI20210036	2	71
MANDIRI20210038	1	81
MANDIRI20210038	3	78
MANDIRI20210039	1	76
MANDIRI20210039	3	70
MANDIRI20210040	1	52
MANDIRI20210040	2	75
MANDIRI20210041	1	61
MANDIRI20210041	2	62
MANDIRI20210042	1	64
MANDIRI20210042	2	68
MANDIRI20210043	1	99
MANDIRI20210043	2	79
MANDIRI20210044	1	57
MANDIRI20210044	3	62
MANDIRI20210046	1	50
MANDIRI20210046	3	98
MANDIRI20210047	1	70
MANDIRI20210047	3	99
MANDIRI20210048	1	74
MANDIRI20210048	3	98
MANDIRI20210049	1	71
MANDIRI20210049	3	67
MANDIRI20210050	1	97
MANDIRI20210050	3	92
MANDIRI20210051	1	94
MANDIRI20210051	2	56
MANDIRI20210052	1	88
MANDIRI20210052	3	69
MANDIRI20210053	1	72
