ApplicantID	SchoolMajorID	Semester	SchoolSubjectID	Score
MANDIRI20210001	1	1	1	70
MANDIRI20210001	1	1	2	82
MANDIRI20210001	1	1	3	74
MANDIRI20210001	1	1	4	82
MANDIRI20210001	1	1	5	54
MANDIRI20210001	1	1	6	73
MANDIRI20210001	1	2	1	93
MANDIRI20210001	1	2	2	67
MANDIRI20210001	1	2	3	63
MANDIRI20210001	1	2	4	60
MANDIRI20210001	1	2	5	98
MANDIRI20210001	1	2	6	86
MANDIRI20210001	1	3	1	73
MANDIRI20210001	1	3	2	79
MANDIRI20210001	1	3	3	64
MANDIRI20210001	1	3	4	72
MANDIRI20210001	1	3	5	67
MANDIRI20210001	1	3	6	70
MANDIRI20210001	1	4	1	56
MANDIRI20210001	1	4	2	64
MANDIRI20210001	1	4	3	92
MANDIRI20210001	1	4	4	83
MANDIRI20210001	1	4	5	87
MANDIRI20210001	1	4	6	51
MANDIRI20210001	1	5	1	55
MANDIRI20210001	1	5	2	69
MANDIRI20210001	1	5	3	75
MANDIRI20210001	1	5	4	74
MANDIRI20210001	1	5	5	54
MANDIRI20210001	1	5	6	81
MANDIRI20210002	2	1	1	54
MANDIRI20210002	2	1	2	71
MANDIRI20210002	2	1	3	87
MANDIRI20210002	2	1	7	76
MANDIRI20210002	2	1	8	69
MANDIRI20210002	2	1	9	61
MANDIRI20210002	2	2	1	95
MANDIRI20210002	2	2	2	94
MANDIRI20210002	2	2	3	75
MANDIRI20210002	2	2	7	83
MANDIRI20210002	2	2	8	83
MANDIRI20210002	2	2	9	50
MANDIRI20210002	2	3	1	72
MANDIRI20210002	2	3	2	94
MANDIRI20210002	2	3	3	97
MANDIRI20210002	2	3	7	53
MANDIRI20210002	2	3	8	64
MANDIRI20210002	2	3	9	83
MANDIRI20210002	2	4	1	59
MANDIRI20210002	2	4	2	95
MANDIRI20210002	2	4	3	55
MANDIRI20210002	2	4	7	71
MANDIRI20210002	2	4	8	84
MANDIRI20210002	2	4	9	80
MANDIRI20210002	2	5	1	87
MANDIRI20210002	2	5	2	50
MANDIRI20210002	2	5	3	96
MANDIRI20210002	2	5	7	57
MANDIRI20210002	2	5	8	90
MANDIRI20210002	2	5	9	96
MANDIRI20210003	1	1	1	70
MANDIRI20210003	1	1	2	59
MANDIRI20210003	1	1	3	79
MANDIRI20210003	1	1	4	53
MANDIRI20210003	1	1	5	65
MANDIRI20210003	1	1	6	98
MANDIRI20210003	1	2	1	51
MANDIRI20210003	1	2	2	84
MANDIRI20210003	1	2	3	52
MANDIRI20210003	1	2	4	77
MANDIRI20210003	1	2	5	52
MANDIRI20210003	1	2	6	51
MANDIRI20210003	1	3	1	71
MANDIRI20210003	1	3	2	99
MANDIRI20210003	1	3	3	69
MANDIRI20210003	1	3	4	73
MANDIRI20210003	1	3	5	71
MANDIRI20210003	1	3	6	90
MANDIRI20210003	1	4	1	74
MANDIRI20210003	1	4	2	99
MANDIRI20210003	1	4	3	64
MANDIRI20210003	1	4	4	63
MANDIRI20210003	1	4	5	77
MANDIRI20210003	1	4	6	57
MANDIRI20210003	1	5	1	62
MANDIRI20210003	1	5	2	53
MANDIRI20210003	1	5	3	55
MANDIRI20210003	1	5	4	69
MANDIRI20210003	1	5	5	97
MANDIRI20210003	1	5	6	91
MANDIRI20210004	1	1	1	93
MANDIRI20210004	1	1	2	56
MANDIRI20210004	1	1	3	89
MANDIRI20210004	1	1	4	81
MANDIRI20210004	1	1	5	73
MANDIRI20210004	1	1	6	69
MANDIRI20210004	1	2	1	54
MANDIRI20210004	1	2	2	93
MANDIRI20210004	1	2	3	66
MANDIRI20210004	1	2	4	71
MANDIRI20210004	1	2	5	80
MANDIRI20210004	1	2	6	65
MANDIRI20210004	1	3	1	62
MANDIRI20210004	1	3	2	87
MANDIRI20210004	1	3	3	69
MANDIRI20210004	1	3	4	93
MANDIRI20210004	1	3	5	87
MANDIRI20210004	1	3	6	93
MANDIRI20210004	1	4	1	83
MANDIRI20210004	1	4	2	67
MANDIRI20210004	1	4	3	55
MANDIRI20210004	1	4	4	69
MANDIRI20210004	1	4	5	59
MANDIRI20210004	1	4	6	78
MANDIRI20210004	1	5	1	85
MANDIRI20210004	1	5	2	99
MANDIRI20210004	1	5	3	53
MANDIRI20210004	1	5	4	74
MANDIRI20210004	1	5	5	60
MANDIRI20210004	1	5	6	60
MANDIRI20210006	1	1	1	79
MANDIRI20210006	1	1	2	55
MANDIRI20210006	1	1	3	70
MANDIRI20210006	1	1	4	97
MANDIRI20210006	1	1	5	100
MANDIRI20210006	1	1	6	63
MANDIRI20210006	1	2	1	85
MANDIRI20210006	1	2	2	98
MANDIRI20210006	1	2	3	60
MANDIRI20210006	1	2	4	98
MANDIRI20210006	1	2	5	77
MANDIRI20210006	1	2	6	96
MANDIRI20210006	1	3	1	79
