ApplicantID	MajorID	SelectionStatus
MANDIRI20210001	32	1
MANDIRI20210001	17	0
MANDIRI20210002	1	1
MANDIRI20210002	13	0
MANDIRI20210002	6	0
MANDIRI20210002	25	0
MANDIRI20210002	1	0
MANDIRI20210003	1	1
MANDIRI20210003	8	0
MANDIRI20210003	12	0
MANDIRI20210003	27	0
MANDIRI20210003	17	0
MANDIRI20210004	3	1
MANDIRI20210004	15	0
MANDIRI20210004	32	0
MANDIRI20210004	25	0
MANDIRI20210004	30	0
MANDIRI20210005	32	1
MANDIRI20210005	31	0
MANDIRI20210006	31	1
MANDIRI20210006	13	0
MANDIRI20210006	29	0
MANDIRI20210006	10	0
MANDIRI20210006	23	0
MANDIRI20210007	11	1
MANDIRI20210007	17	0
MANDIRI20210008	18	1
MANDIRI20210008	14	0
MANDIRI20210008	17	0
MANDIRI20210008	1	0
MANDIRI20210008	31	0
MANDIRI20210009	19	1
MANDIRI20210009	18	0
MANDIRI20210010	7	1
MANDIRI20210010	24	0
MANDIRI20210010	5	0
MANDIRI20210010	3	0
MANDIRI20210010	16	0
MANDIRI20210011	16	1
MANDIRI20210011	21	0
MANDIRI20210011	12	0
MANDIRI20210011	7	0
MANDIRI20210011	31	0
MANDIRI20210012	15	1
MANDIRI20210012	27	0
MANDIRI20210013	30	1
MANDIRI20210013	29	0
MANDIRI20210013	15	0
MANDIRI20210013	25	0
MANDIRI20210013	27	0
MANDIRI20210014	12	1
MANDIRI20210014	16	0
MANDIRI20210015	9	1
MANDIRI20210015	17	0
MANDIRI20210015	17	0
MANDIRI20210015	19	0
MANDIRI20210015	10	0
MANDIRI20210016	13	1
MANDIRI20210016	11	0
MANDIRI20210016	5	0
MANDIRI20210016	20	0
MANDIRI20210016	8	0
MANDIRI20210017	17	0
MANDIRI20210017	8	0
MANDIRI20210018	15	1
MANDIRI20210018	15	0
MANDIRI20210018	8	0
MANDIRI20210018	21	0
MANDIRI20210018	24	0
MANDIRI20210019	31	1
MANDIRI20210019	7	0
MANDIRI20210020	24	1
MANDIRI20210020	27	0
MANDIRI20210021	32	1
MANDIRI20210021	8	0
MANDIRI20210022	22	1
MANDIRI20210022	29	0
MANDIRI20210023	22	1
MANDIRI20210023	26	0
MANDIRI20210023	1	0
MANDIRI20210023	20	0
MANDIRI20210023	31	0
MANDIRI20210024	28	1
MANDIRI20210024	9	0
MANDIRI20210024	29	0
MANDIRI20210024	22	0
MANDIRI20210024	10	0
MANDIRI20210025	29	1
MANDIRI20210025	21	0
MANDIRI20210026	4	1
MANDIRI20210026	26	0
MANDIRI20210026	20	0
MANDIRI20210026	31	0
MANDIRI20210026	26	0
MANDIRI20210027	15	1
MANDIRI20210027	18	0
MANDIRI20210028	10	0
MANDIRI20210028	8	0
MANDIRI20210028	12	0
MANDIRI20210028	4	0
MANDIRI20210028	3	0
MANDIRI20210029	19	1
MANDIRI20210029	3	0
MANDIRI20210030	22	1
MANDIRI20210030	17	0
MANDIRI20210030	4	0
MANDIRI20210030	2	0
MANDIRI20210030	11	0
MANDIRI20210031	23	1
MANDIRI20210031	31	0
MANDIRI20210032	7	1
MANDIRI20210032	2	0
MANDIRI20210032	15	0
MANDIRI20210032	16	0
MANDIRI20210032	12	0
MANDIRI20210033	19	1
MANDIRI20210033	21	0
MANDIRI20210033	20	0
MANDIRI20210033	28	0
MANDIRI20210033	17	0
MANDIRI20210034	23	1
MANDIRI20210034	14	0
MANDIRI20210034	10	0
MANDIRI20210034	25	0
MANDIRI20210034	26	0
MANDIRI20210035	32	1
MANDIRI20210035	12	0
MANDIRI20210036	29	1
MANDIRI20210036	21	0
MANDIRI20210036	23	0
MANDIRI20210036	5	0
MANDIRI20210036	8	0
MANDIRI20210037	5	1
MANDIRI20210037	7	0
MANDIRI20210038	13	0
MANDIRI20210038	24	0
MANDIRI20210038	12	0
MANDIRI20210038	26	0
MANDIRI20210038	13	0
MANDIRI20210039	26	0
MANDIRI20210039	28	0
MANDIRI20210039	21	0
MANDIRI20210039	13	0
MANDIRI20210039	21	0
MANDIRI20210040	24	1
MANDIRI20210040	26	0
MANDIRI20210040	30	0
MANDIRI20210040	21	0
MANDIRI20210040	15	0
MANDIRI20210041	8	0
MANDIRI20210041	1	0
MANDIRI20210042	2	1
MANDIRI20210042	11	0
MANDIRI20210042	17	0
MANDIRI20210042	25	0
MANDIRI20210042	1	0
MANDIRI20210043	32	0
MANDIRI20210043	5	0
MANDIRI20210044	17	1
MANDIRI20210044	28	0
MANDIRI20210044	12	0
MANDIRI20210044	7	0
MANDIRI20210044	9	0
MANDIRI20210045	23	1
MANDIRI20210045	1	0
MANDIRI20210046	16	1
MANDIRI20210046	19	0
MANDIRI20210046	13	0
MANDIRI20210046	25	0
MANDIRI20210046	5	0
MANDIRI20210047	30	1
MANDIRI20210047	3	0
MANDIRI20210047	16	0
MANDIRI20210047	2	0
MANDIRI20210047	17	0
MANDIRI20210048	14	0
MANDIRI20210048	14	0
MANDIRI20210048	18	0
MANDIRI20210048	32	0
MANDIRI20210048	23	0
MANDIRI20210049	4	1
MANDIRI20210049	32	0
MANDIRI20210049	15	0
MANDIRI20210049	10	0
MANDIRI20210049	9	0
MANDIRI20210050	26	1
MANDIRI20210050	6	0
MANDIRI20210051	12	1
MANDIRI20210051	1	0
MANDIRI20210052	14	1
MANDIRI20210052	17	0
MANDIRI20210052	18	0
MANDIRI20210052	8	0
MANDIRI20210052	4	0
MANDIRI20210053	27	1
MANDIRI20210053	7	0
MANDIRI20210053	3	0
MANDIRI20210053	9	0
MANDIRI20210053	2	0
MANDIRI20210054	10	1
MANDIRI20210054	23	0
MANDIRI20210055	18	1
MANDIRI20210055	1	0
MANDIRI20210056	14	1
MANDIRI20210056	25	0
MANDIRI20210057	12	1
MANDIRI20210057	27	0
MANDIRI20210057	13	0
MANDIRI20210057	1	0
MANDIRI20210057	21	0
MANDIRI20210058	27	1
MANDIRI20210058	20	0
MANDIRI20210058	16	0
MANDIRI20210058	32	0
MANDIRI20210058	14	0
MANDIRI20210059	7	0
MANDIRI20210059	22	0
MANDIRI20210060	28	1
MANDIRI20210060	4	0
MANDIRI20210060	20	0
MANDIRI20210060	8	0
MANDIRI20210060	21	0
MANDIRI20210061	4	0
MANDIRI20210061	11	0
MANDIRI20210062	24	1
MANDIRI20210062	14	0
MANDIRI20210062	15	0
MANDIRI20210062	16	0
MANDIRI20210062	18	0
MANDIRI20210063	8	1
MANDIRI20210063	16	0
MANDIRI20210064	1	1
MANDIRI20210064	24	0
MANDIRI20210064	12	0
MANDIRI20210064	6	0
MANDIRI20210064	12	0
MANDIRI20210065	25	1
MANDIRI20210065	1	0
MANDIRI20210066	6	1
MANDIRI20210066	18	0
MANDIRI20210066	10	0
MANDIRI20210066	29	0
MANDIRI20210066	9	0
MANDIRI20210067	20	0
MANDIRI20210067	10	0
MANDIRI20210068	9	1
MANDIRI20210068	13	0
MANDIRI20210069	2	1
MANDIRI20210069	31	0
MANDIRI20210069	22	0
MANDIRI20210069	1	0
MANDIRI20210069	31	0
MANDIRI20210070	6	1
MANDIRI20210070	13	0
MANDIRI20210070	14	0
MANDIRI20210070	26	0
MANDIRI20210070	8	0
MANDIRI20210071	26	1
MANDIRI20210071	18	0
MANDIRI20210071	23	0
MANDIRI20210071	4	0
MANDIRI20210071	30	0
MANDIRI20210072	9	1
MANDIRI20210072	21	0
MANDIRI20210073	17	1
MANDIRI20210073	17	0
MANDIRI20210073	16	0
MANDIRI20210073	24	0
MANDIRI20210073	16	0
MANDIRI20210074	19	1
MANDIRI20210074	26	0
MANDIRI20210075	6	1
MANDIRI20210075	24	0
MANDIRI20210076	17	1
MANDIRI20210076	14	0
MANDIRI20210077	5	1
MANDIRI20210077	26	0
MANDIRI20210078	12	1
MANDIRI20210078	9	0
MANDIRI20210078	27	0
MANDIRI20210078	21	0
MANDIRI20210078	1	0
MANDIRI20210079	7	1
MANDIRI20210079	27	0
MANDIRI20210079	10	0
MANDIRI20210079	12	0
MANDIRI20210079	10	0
MANDIRI20210080	1	1
MANDIRI20210080	5	0
MANDIRI20210080	32	0
MANDIRI20210080	27	0
MANDIRI20210080	2	0
MANDIRI20210081	4	1
MANDIRI20210081	26	0
MANDIRI20210082	5	1
MANDIRI20210082	31	0
MANDIRI20210082	12	0
MANDIRI20210082	30	0
MANDIRI20210082	20	0
MANDIRI20210083	10	0
MANDIRI20210083	5	0
MANDIRI20210084	21	1
MANDIRI20210084	9	0
MANDIRI20210085	30	1
MANDIRI20210085	22	0
MANDIRI20210086	2	1
MANDIRI20210086	3	0
MANDIRI20210087	12	1
MANDIRI20210087	5	0
MANDIRI20210087	5	0
MANDIRI20210087	23	0
MANDIRI20210087	30	0
MANDIRI20210088	25	0
MANDIRI20210088	13	0
MANDIRI20210088	15	0
MANDIRI20210088	28	0
MANDIRI20210088	1	0
MANDIRI20210089	3	1
MANDIRI20210089	31	0
MANDIRI20210090	30	1
MANDIRI20210090	25	0
MANDIRI20210091	6	1
MANDIRI20210091	6	0
MANDIRI20210092	20	1
MANDIRI20210092	20	0
MANDIRI20210092	29	0
MANDIRI20210092	7	0
MANDIRI20210092	19	0
MANDIRI20210093	6	0
MANDIRI20210093	19	0
MANDIRI20210094	28	0
MANDIRI20210094	7	0
MANDIRI20210094	23	0
MANDIRI20210094	3	0
MANDIRI20210094	30	0
MANDIRI20210095	23	1
MANDIRI20210095	17	0
MANDIRI20210096	19	1
MANDIRI20210096	29	0
MANDIRI20210096	12	0
MANDIRI20210096	14	0
MANDIRI20210096	28	0
MANDIRI20210097	18	1
MANDIRI20210097	27	0
MANDIRI20210097	15	0
MANDIRI20210097	24	0
MANDIRI20210097	23	0
MANDIRI20210098	11	1
MANDIRI20210098	23	0
MANDIRI20210098	24	0
MANDIRI20210098	27	0
MANDIRI20210098	2	0
MANDIRI20210099	30	0
MANDIRI20210099	29	0
MANDIRI20210099	18	0
MANDIRI20210099	15	0
MANDIRI20210099	32	0
MANDIRI20210100	10	1
MANDIRI20210100	5	0
MANDIRI20210101	20	1
MANDIRI20210101	21	0
MANDIRI20210101	7	0
MANDIRI20210101	19	0
MANDIRI20210101	3	0
MANDIRI20210102	29	1
MANDIRI20210102	21	0
MANDIRI20210103	4	1
MANDIRI20210103	6	0
MANDIRI20210103	3	0
MANDIRI20210103	4	0
MANDIRI20210103	10	0
MANDIRI20210104	2	1
MANDIRI20210104	24	0
MANDIRI20210105	17	1
MANDIRI20210105	27	0
MANDIRI20210105	20	0
MANDIRI20210105	18	0
MANDIRI20210105	28	0
MANDIRI20210106	2	1
MANDIRI20210106	18	0
MANDIRI20210106	9	0
MANDIRI20210106	11	0
MANDIRI20210106	26	0
MANDIRI20210107	16	1
MANDIRI20210107	5	0
MANDIRI20210108	2	1
MANDIRI20210108	16	0
MANDIRI20210109	4	1
MANDIRI20210109	21	0
MANDIRI20210109	7	0
MANDIRI20210109	18	0
MANDIRI20210109	8	0
MANDIRI20210110	19	1
MANDIRI20210110	10	0
MANDIRI20210110	21	0
MANDIRI20210110	7	0
MANDIRI20210110	32	0
MANDIRI20210111	21	1
MANDIRI20210111	9	0
MANDIRI20210112	6	1
MANDIRI20210112	13	0
MANDIRI20210113	8	1
MANDIRI20210113	9	0
MANDIRI20210113	5	0
MANDIRI20210113	19	0
MANDIRI20210113	9	0
MANDIRI20210114	25	1
MANDIRI20210114	31	0
MANDIRI20210114	24	0
MANDIRI20210114	25	0
MANDIRI20210114	31	0
MANDIRI20210115	23	1
MANDIRI20210115	23	0
MANDIRI20210115	31	0
MANDIRI20210115	14	0
MANDIRI20210115	4	0
MANDIRI20210116	32	1
MANDIRI20210116	7	0
MANDIRI20210116	14	0
MANDIRI20210116	2	0
MANDIRI20210116	1	0
MANDIRI20210117	4	0
MANDIRI20210117	26	0
MANDIRI20210117	29	0
MANDIRI20210117	22	0
MANDIRI20210117	29	0
MANDIRI20210118	14	1
MANDIRI20210118	27	0
MANDIRI20210119	8	1
MANDIRI20210119	32	0
MANDIRI20210119	20	0
MANDIRI20210119	23	0
MANDIRI20210119	23	0
MANDIRI20210120	4	1
MANDIRI20210120	16	0
MANDIRI20210120	11	0
MANDIRI20210120	13	0
MANDIRI20210120	17	0
MANDIRI20210121	2	1
MANDIRI20210121	3	0
MANDIRI20210121	29	0
MANDIRI20210121	18	0
MANDIRI20210121	23	0
MANDIRI20210122	2	1
MANDIRI20210122	8	0
MANDIRI20210122	21	0
MANDIRI20210122	26	0
MANDIRI20210122	1	0
MANDIRI20210123	21	1
MANDIRI20210123	2	0
MANDIRI20210124	23	1
MANDIRI20210124	18	0
MANDIRI20210124	27	0
MANDIRI20210124	7	0
MANDIRI20210124	28	0
MANDIRI20210125	18	1
MANDIRI20210125	7	0
MANDIRI20210126	7	1
MANDIRI20210126	30	0
MANDIRI20210126	28	0
MANDIRI20210126	17	0
MANDIRI20210126	14	0
MANDIRI20210127	23	1
MANDIRI20210127	29	0
MANDIRI20210128	20	1
MANDIRI20210128	15	0
MANDIRI20210128	27	0
MANDIRI20210128	27	0
MANDIRI20210128	18	0
MANDIRI20210129	25	1
MANDIRI20210129	15	0
MANDIRI20210129	17	0
MANDIRI20210129	12	0
MANDIRI20210129	6	0
MANDIRI20210130	8	1
MANDIRI20210130	2	0
MANDIRI20210131	10	1
MANDIRI20210131	32	0
MANDIRI20210131	8	0
MANDIRI20210131	7	0
MANDIRI20210131	23	0
MANDIRI20210132	8	1
MANDIRI20210132	15	0
MANDIRI20210133	30	1
MANDIRI20210133	20	0
MANDIRI20210134	5	1
MANDIRI20210134	17	0
MANDIRI20210134	4	0
MANDIRI20210134	16	0
MANDIRI20210134	4	0
MANDIRI20210135	32	1
MANDIRI20210135	30	0
MANDIRI20210136	32	1
MANDIRI20210136	1	0
MANDIRI20210136	24	0
MANDIRI20210136	13	0
MANDIRI20210136	18	0
MANDIRI20210137	3	1
MANDIRI20210137	1	0
MANDIRI20210137	5	0
MANDIRI20210137	13	0
MANDIRI20210137	30	0
MANDIRI20210138	24	1
MANDIRI20210138	8	0
MANDIRI20210139	3	0
MANDIRI20210139	26	0
MANDIRI20210139	1	0
MANDIRI20210139	30	0
MANDIRI20210139	1	0
MANDIRI20210140	15	1
MANDIRI20210140	17	0
MANDIRI20210140	21	0
MANDIRI20210140	15	0
MANDIRI20210140	15	0
MANDIRI20210141	29	1
MANDIRI20210141	27	0
MANDIRI20210141	12	0
MANDIRI20210141	27	0
MANDIRI20210141	31	0
MANDIRI20210142	6	1
MANDIRI20210142	30	0
MANDIRI20210142	30	0
MANDIRI20210142	32	0
MANDIRI20210142	15	0
MANDIRI20210143	7	1
MANDIRI20210143	31	0
MANDIRI20210144	12	1
MANDIRI20210144	30	0
MANDIRI20210144	19	0
MANDIRI20210144	20	0
MANDIRI20210144	18	0
MANDIRI20210145	30	1
MANDIRI20210145	20	0
MANDIRI20210146	2	1
MANDIRI20210146	18	0
MANDIRI20210146	3	0
MANDIRI20210146	10	0
MANDIRI20210146	9	0
MANDIRI20210147	12	1
MANDIRI20210147	19	0
MANDIRI20210147	1	0
MANDIRI20210147	23	0
MANDIRI20210147	7	0
MANDIRI20210148	11	1
MANDIRI20210148	29	0
MANDIRI20210148	21	0
MANDIRI20210148	1	0
MANDIRI20210148	27	0
MANDIRI20210149	22	1
MANDIRI20210149	27	0
MANDIRI20210150	7	1
MANDIRI20210150	10	0
MANDIRI20210151	32	1
MANDIRI20210151	22	0
MANDIRI20210151	24	0
MANDIRI20210151	1	0
MANDIRI20210151	17	0
MANDIRI20210152	17	1
MANDIRI20210152	25	0
MANDIRI20210153	6	1
MANDIRI20210153	6	0
MANDIRI20210154	8	1
MANDIRI20210154	25	0
MANDIRI20210155	12	1
MANDIRI20210155	31	0
MANDIRI20210155	1	0
MANDIRI20210155	30	0
MANDIRI20210155	16	0
MANDIRI20210156	1	1
MANDIRI20210156	25	0
MANDIRI20210157	26	1
MANDIRI20210157	19	0
MANDIRI20210157	6	0
MANDIRI20210157	8	0
MANDIRI20210157	14	0
MANDIRI20210158	27	1
MANDIRI20210158	20	0
MANDIRI20210159	18	1
MANDIRI20210159	9	0
MANDIRI20210159	10	0
MANDIRI20210159	27	0
MANDIRI20210159	21	0
MANDIRI20210160	12	1
MANDIRI20210160	30	0
MANDIRI20210160	29	0
MANDIRI20210160	9	0
MANDIRI20210160	17	0
MANDIRI20210161	8	0
MANDIRI20210161	14	0
MANDIRI20210162	12	1
MANDIRI20210162	30	0
MANDIRI20210163	27	1
MANDIRI20210163	22	0
MANDIRI20210163	32	0
MANDIRI20210163	13	0
MANDIRI20210163	20	0
MANDIRI20210164	31	1
MANDIRI20210164	20	0
MANDIRI20210165	24	1
MANDIRI20210165	6	0
MANDIRI20210165	17	0
MANDIRI20210165	30	0
MANDIRI20210165	32	0
MANDIRI20210166	15	1
MANDIRI20210166	31	0
MANDIRI20210166	7	0
MANDIRI20210166	18	0
MANDIRI20210166	1	0
MANDIRI20210167	17	1
MANDIRI20210167	20	0
MANDIRI20210168	18	1
MANDIRI20210168	18	0
MANDIRI20210168	14	0
MANDIRI20210168	15	0
MANDIRI20210168	21	0
MANDIRI20210169	6	0
MANDIRI20210169	28	0
MANDIRI20210170	8	1
MANDIRI20210170	16	0
MANDIRI20210171	14	0
MANDIRI20210171	22	0
MANDIRI20210172	32	1
MANDIRI20210172	32	0
MANDIRI20210173	29	1
MANDIRI20210173	20	0
MANDIRI20210173	3	0
MANDIRI20210173	7	0
MANDIRI20210173	16	0
MANDIRI20210174	6	1
MANDIRI20210174	30	0
MANDIRI20210174	20	0
MANDIRI20210174	18	0
MANDIRI20210174	3	0
MANDIRI20210175	27	1
MANDIRI20210175	15	0
MANDIRI20210176	8	1
MANDIRI20210176	24	0
MANDIRI20210176	21	0
MANDIRI20210176	16	0
MANDIRI20210176	30	0
MANDIRI20210177	30	1
MANDIRI20210177	27	0
MANDIRI20210177	21	0
MANDIRI20210177	8	0
MANDIRI20210177	3	0
MANDIRI20210178	3	1
MANDIRI20210178	25	0
MANDIRI20210179	15	1
MANDIRI20210179	16	0
MANDIRI20210179	15	0
MANDIRI20210179	8	0
MANDIRI20210179	1	0
MANDIRI20210180	1	1
MANDIRI20210180	17	0
MANDIRI20210181	5	1
MANDIRI20210181	8	0
MANDIRI20210181	13	0
MANDIRI20210181	22	0
MANDIRI20210181	28	0
MANDIRI20210182	17	1
MANDIRI20210182	17	0
MANDIRI20210183	27	1
MANDIRI20210183	30	0
MANDIRI20210183	27	0
MANDIRI20210183	1	0
MANDIRI20210183	23	0
MANDIRI20210184	1	0
MANDIRI20210184	10	0
MANDIRI20210184	18	0
MANDIRI20210184	25	0
MANDIRI20210184	3	0
MANDIRI20210185	3	1
MANDIRI20210185	28	0
MANDIRI20210186	4	1
MANDIRI20210186	21	0
MANDIRI20210187	27	1
MANDIRI20210187	14	0
MANDIRI20210188	6	1
MANDIRI20210188	29	0
MANDIRI20210189	20	1
MANDIRI20210189	14	0
MANDIRI20210190	13	1
MANDIRI20210190	21	0
MANDIRI20210190	28	0
MANDIRI20210190	23	0
MANDIRI20210190	23	0
MANDIRI20210191	24	1
MANDIRI20210191	20	0
MANDIRI20210191	11	0
MANDIRI20210191	21	0
MANDIRI20210191	3	0
MANDIRI20210192	6	0
MANDIRI20210192	29	0
MANDIRI20210192	27	0
MANDIRI20210192	8	0
MANDIRI20210192	30	0
MANDIRI20210193	1	1
MANDIRI20210193	17	0
MANDIRI20210193	8	0
MANDIRI20210193	11	0
MANDIRI20210193	3	0
MANDIRI20210194	22	1
MANDIRI20210194	18	0
MANDIRI20210194	27	0
