ApplicantID	UTBKSubjectID	Score
MANDIRI20210002	5	503
MANDIRI20210002	6	707
MANDIRI20210002	7	705
MANDIRI20210002	8	786
MANDIRI20210002	9	496
MANDIRI20210002	10	598
MANDIRI20210002	11	633
MANDIRI20210002	12	452
MANDIRI20210003	1	704
MANDIRI20210003	2	793
MANDIRI20210003	3	542
MANDIRI20210003	4	748
MANDIRI20210003	9	760
MANDIRI20210003	10	597
MANDIRI20210003	11	746
MANDIRI20210003	12	536
MANDIRI20210004	1	561
MANDIRI20210004	2	570
MANDIRI20210004	3	500
MANDIRI20210004	4	563
MANDIRI20210004	9	576
MANDIRI20210004	10	541
MANDIRI20210004	11	521
MANDIRI20210004	12	781
MANDIRI20210006	1	471
MANDIRI20210006	2	648
MANDIRI20210006	3	499
MANDIRI20210006	4	752
MANDIRI20210006	9	765
MANDIRI20210006	10	469
MANDIRI20210006	11	745
MANDIRI20210006	12	674
MANDIRI20210008	5	712
MANDIRI20210008	6	623
MANDIRI20210008	7	460
MANDIRI20210008	8	545
MANDIRI20210008	9	714
MANDIRI20210008	10	499
MANDIRI20210008	11	520
MANDIRI20210008	12	738
MANDIRI20210010	1	717
MANDIRI20210010	2	453
MANDIRI20210010	3	519
MANDIRI20210010	4	707
MANDIRI20210010	9	732
MANDIRI20210010	10	600
MANDIRI20210010	11	758
MANDIRI20210010	12	510
MANDIRI20210011	5	794
MANDIRI20210011	6	662
MANDIRI20210011	7	641
MANDIRI20210011	8	581
MANDIRI20210011	9	691
MANDIRI20210011	10	795
MANDIRI20210011	11	520
MANDIRI20210011	12	462
MANDIRI20210013	1	746
MANDIRI20210013	2	684
MANDIRI20210013	3	692
MANDIRI20210013	4	677
MANDIRI20210013	9	512
MANDIRI20210013	10	650
MANDIRI20210013	11	497
MANDIRI20210013	12	491
MANDIRI20210015	5	483
MANDIRI20210015	6	705
MANDIRI20210015	7	719
MANDIRI20210015	8	502
MANDIRI20210015	9	794
MANDIRI20210015	10	793
MANDIRI20210015	11	591
MANDIRI20210015	12	667
MANDIRI20210016	1	783
MANDIRI20210016	2	513
MANDIRI20210016	3	600
MANDIRI20210016	4	684
MANDIRI20210016	9	543
MANDIRI20210016	10	570
MANDIRI20210016	11	458
MANDIRI20210016	12	528
MANDIRI20210018	1	675
MANDIRI20210018	2	542
MANDIRI20210018	3	728
MANDIRI20210018	4	642
MANDIRI20210018	9	644
MANDIRI20210018	10	723
MANDIRI20210018	11	695
MANDIRI20210018	12	688
MANDIRI20210023	1	671
MANDIRI20210023	2	554
MANDIRI20210023	3	593
MANDIRI20210023	4	714
