ID	Name	StartDate	EndDate
1	Matematika	2021-01-01	2022-12-31
2	Fisika	2021-01-01	2022-12-31
3	Kimia	2021-01-01	2022-12-31
4	Biologi	2021-01-01	2022-12-31
5	Ekonomi	2021-01-01	2022-12-31
6	Geografi	2021-01-01	2022-12-31
7	Sejarah	2021-01-01	2022-12-31
8	Sosiologi	2021-01-01	2022-12-31
9	Penalaran Umum	2021-01-01	
10	Pemahaman Bacaan dan Menulis	2021-01-01	
11	Pengetahuan dan Pemahaman Umum	2021-01-01	
12	Kemampuan Kuantitatif	2021-01-01	
13	Bahasa Inggris	2023-01-01	
14	Penalaran Matematik	2023-01-01	
15	Bahasa Indonesia	2023-01-01	
